feature,importance_MAE_increase,std
co2_slope5,2.888722,0.301567
population,2.123548,0.144496
primary_energy_consumption,1.453943,0.072866
co2_lag3,1.093717,0.077004
co2,1.013969,0.103674
cement_co2,0.991207,0.123335
co2_lag1,0.781376,0.126747
co2_lag5,0.75381,0.049025
share_global_co2,0.729766,0.074556
energy_growth1_pct,0.510367,0.411183
co2_per_capita,0.457599,0.29563
pop_growth5_pct,0.423853,0.229395
co2_roll10_mean,0.374213,0.026686
co2_lag10,0.332094,0.099804
flaring_co2,0.109476,0.050394
co2_roll5_mean,0.098097,0.037663
energy_per_capita,0.035727,0.045908
